experiment,git_hash,seed,tta_level,train_epochs,batch_size,lr,momentum,weight_decay,label_smoothing,whiten_bias_epochs,gpu_name,gpu_count,instance,run,total_time_seconds,final_tta_acc
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.950999521493912,0.9389999508857727
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.950888536691665,0.9386000037193298
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.0341649980545045,0.9383999705314636
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.947885438680649,0.937999963760376
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,3.947071361064911,0.9387999773025513
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.045930209636688,0.9394999742507935
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.039246098518372,0.937999963760376
grid_tta1_ep9.9,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,9.9,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.047295063018799,0.9380999803543091
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,12.039140727996829,0.9386999607086182
grid_tta1_ep11.0,4503c63e22d27982c195b23d3d9b3f96d19bc2be,,1,11.0,1024,11.5,0.85,0.0153,0.2,3,NVIDIA A100 80GB PCIe,1,unknown,,4.442304812669755,0.9402999877929688
